hERG_KNeighborsClassifier,hERG_NNClassifier,hERG_RandomForestClassifier,hERG_SVC
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.005,0.0,0.0
0.0,0.005,0.0,0.0
0.0,0.013695652173913043,0.0,0.0
0.0,0.02059220389805096,0.0,0.0
0.0,0.02059220389805096,0.0,0.007692307692307681
0.0,0.02059220389805096,0.0,0.007692307692307681
0.0111111111111111,0.02059220389805096,0.011393939393939434,0.015268065268065295
0.0111111111111111,0.02059220389805096,0.016,0.02125652125652126
0.018253968253968238,0.02059220389805096,0.016,0.02258939890518837
0.019282106782106775,0.021316841579210388,0.016,0.0235729183097604
0.02077922077922077,0.028249208728968845,0.016,0.024556437714332434
0.022276334776334766,0.03707812760286524,0.02552380952380952,0.02553995711890447
0.04016140863966948,0.03901049475262369,0.03279653679653686,0.051011527657295705
0.06329313802139885,0.04863516959468984,0.053523809523809515,0.06660526406442918
0.06341940064766147,0.05944392605562025,0.053523809523809515,0.06660526406442918
0.06341940064766147,0.0661261327378269,0.053523809523809515,0.06660526406442918
0.07211505282157452,0.0719536385653327,0.053523809523809515,0.08198987944904455
0.07767060837713008,0.0719536385653327,0.07507936507936505,0.08198987944904455
0.08392060837713008,0.0719536385653327,0.08460317460317458,0.08198987944904455
0.08392060837713008,0.0719536385653327,0.08460317460317458,0.08198987944904455
0.10267060837713009,0.08064929073924573,0.08460317460317458,0.09108078853995363
0.10267060837713009,0.08064929073924573,0.09460317460317458,0.11476055704730839
0.11049889120541297,0.08064929073924573,0.10962578162578165,0.11476055704730839
0.13155856824335083,0.08754584246338366,0.1121269841269841,0.13014517243192375
0.13870142538620794,0.0993105483457366,0.12012698412698411,0.1372880295747809
0.14495142538620795,0.116957607169266,0.13765079365079363,0.14255118746951773
0.15264373307851564,0.116957607169266,0.15120634920634918,0.15024349516182542
0.15889373307851565,0.12964991486157368,0.16238095238095243,0.1670267119450422
0.17069928863407122,0.12964991486157368,0.17825396825396825,0.17471901963734987
0.19523345012475443,0.13464991486157368,0.17825396825396825,0.18687872925622467
0.21504021340977858,0.13464991486157368,0.19425396825396826,0.18687872925622467
0.22828807665764184,0.14053226780275016,0.20536507936507936,0.18796653034402583
0.253547616500515,0.14053226780275016,0.2109206349206349,0.20509735273800606
0.2649553445749098,0.16012247270030144,0.2109206349206349,0.22088682642221658
0.27314838610128467,0.17759902854002857,0.2244761904761905,0.22778337814635446
0.29018381980338503,0.20495593832043252,0.2244761904761905,0.2492803022748576
0.300212679832245,0.2126482460127402,0.24247619047619046,0.2492803022748576
0.34270092829875437,0.22723710542918582,0.256031746031746,0.28216449813546
0.3519715188193449,0.23593275760309887,0.28203174603174597,0.28794645564155547
0.39132660817443427,0.24181511054427535,0.2875873015873015,0.2946751977604972
0.40428713127988497,0.24871166226841326,0.29314285714285715,0.3066205623374408
0.421617331943419,0.2574263958107331,0.2955670995670996,0.31407421979109823
0.4291882332643202,0.274276327488251,0.32019047619047614,0.32121707693395535
0.4489993132203277,0.29875927523691875,0.3492380952380952,0.3566810281873803
0.4577535219745365,0.31209413735474234,0.3538845598845598,0.36061510580566847
0.4748316096142184,0.3272956138138253,0.3760798460798461,0.3860367867297418
0.4832140450799872,0.3319301949189946,0.46634471701138364,0.39575598831497194
0.4872544491203912,0.3636785806328976,0.49765720699054034,0.3996900659332601
0.5237766762223284,0.3980400184523123,0.5037402597402598,0.4576899507026549
0.5555492514731646,0.3980400184523123,0.5172980599647267,0.4576899507026549
0.579629519031693,0.428809249221543,0.5484518197851531,0.4576899507026549
0.5939152333174073,0.45315656856886244,0.554063492063492,0.4827971401639114
0.6208648537452885,0.4627685252396426,0.5802539682539682,0.5015879187633023
0.6208648537452885,0.4714641774135557,0.5913650793650793,0.518391993165133
0.638349221229656,0.4979559716234026,0.609001443001443,0.560238158695509
0.6437013536651217,0.5020914439941692,0.615950937950938,0.6113078391662783
0.678609708863332,0.5339785125947927,0.624031746031746,0.6113078391662783
0.6985354621224186,0.540306498334543,0.624031746031746,0.6115470736160391
0.7162656486026051,0.5756037681145715,0.6339711399711401,0.6223098621300239
0.7400661536531101,0.6186240994407499,0.6437489177489178,0.6512377318184941
0.7477952301321867,0.6401335079066801,0.672031746031746,0.6636273889449933
0.7784042044911611,0.647030059630818,0.6736479076479076,0.6636273889449933
0.7789653717189949,0.6680639277235098,0.6911540804874139,0.6637692011557712
0.7810978071847637,0.6932065302190533,0.6954189514189515,0.7056831553201789
0.7966230997933899,0.6955845301673859,0.7353333333333334,0.7398220654119021
0.817159380474598,0.7133607579180381,0.7433333333333334,0.7469649225547592
0.8294068552220727,0.7206780484706229,0.7623809523809524,0.7607580260030351
0.8344573602725778,0.7214801875080561,0.7943809523809524,0.7755931908381999
0.840770491585709,0.7301758396819691,0.7943809523809524,0.8113074765524857
0.8581316026968201,0.7528228985054983,0.8093506493506494,0.8129603691144691
0.8636871582523756,0.7640174527435308,0.8219047619047618,0.8272949373675326
0.8929185247120032,0.8040073063016002,0.8314285714285713,0.8344377945103897
0.8929185247120032,0.8109038580257382,0.840952380952381,0.8344377945103897
0.9006108324043108,0.8109038580257382,0.848952380952381,0.8413343462345277
0.9006108324043108,0.8195995101996513,0.864952380952381,0.8484772033773849
0.9006108324043108,0.8195995101996513,0.8744761904761905,0.8484772033773849
0.9006108324043108,0.8195995101996513,0.8744761904761905,0.8696594693872373
0.9148965466900251,0.8272918178919589,0.8744761904761905,0.8696594693872373
0.9148965466900251,0.835987470065872,0.8744761904761905,0.8696594693872373
0.9220394038328822,0.835987470065872,0.8744761904761905,0.8787503784781462
0.9220394038328822,0.8436797777581798,0.8744761904761905,0.8787503784781462
0.9220394038328822,0.8436797777581798,0.8744761904761905,0.8787503784781462
0.9220394038328822,0.8436797777581798,0.8744761904761905,0.8787503784781462
0.9434679752614535,0.8436797777581798,0.8744761904761905,0.8787503784781462
0.9434679752614535,0.8436797777581798,0.8744761904761905,0.8787503784781462
0.943856475649954,0.8436797777581798,0.8744761904761905,0.8787503784781462
0.9505386823321608,0.8436797777581798,0.8744761904761905,0.8787503784781462
0.9511602829537612,0.8436797777581798,0.8744761904761905,0.8787503784781462
0.9583031400966184,0.8436797777581798,0.8780115440115441,0.889779161607243
0.9756944444444444,0.8436797777581798,0.8844761904761904,0.8947378392931933
0.9756944444444444,0.8436797777581798,0.8844761904761904,0.8947378392931933
0.9756944444444444,0.8436797777581798,0.8844761904761904,0.8947378392931933
0.9756944444444444,0.8436797777581798,0.8844761904761904,0.8947378392931933
1.0,1.0,1.0,1.0
