hERG_KNeighborsClassifier,hERG_NNClassifier,hERG_RandomForestClassifier,hERG_SVC
1.0,1.0,1.0,1.0
1.0,0.973737373737373,0.9878787878787877,1.0
1.0,0.8,0.8905723905723901,0.9649831649831639
0.9803030303030299,0.8,0.8595959595959595,0.86010101010101
0.9148484848484847,0.8210101010101012,0.8653535353535355,0.8447474747474747
0.8490235690235686,0.8137373737373735,0.8709090909090907,0.8356228956228957
0.8518037518037518,0.8,0.8588744588744589,0.8295815295815295
0.8503246753246753,0.8229797979797981,0.8733044733044734,0.8252886002886003
0.8450336700336702,0.8231200897867567,0.8661335578002245,0.8231200897867567
0.8588429752066116,0.8426446280991737,0.8571900826446278,0.8393388429752064
0.8477502295684113,0.8479032751760023,0.8403275176002449,0.8406336088154269
0.8388888888888889,0.8321937321937323,0.8548433048433048,0.8551282051282051
0.8523476523476525,0.8377289377289378,0.8587412587412586,0.859007659007659
0.8448965848965848,0.8408369408369408,0.8636267436267436,0.8638768638768639
0.8482659932659933,0.8483838383838384,0.8734175084175085,0.8736531986531988
0.835628342245989,0.8585561497326204,0.8819073083778968,0.8593137254901958
0.8341207048121394,0.8652489810384546,0.877166922058563,0.8552602043830113
0.8409197235513023,0.8438490164805955,0.8749707602339182,0.8537373737373738
0.8293073593073593,0.849047619047619,0.8715151515151514,0.8525108225108227
0.8277624732170187,0.8509641873278238,0.8511915693733876,0.8557741921378286
0.820924661636124,0.8529803968539147,0.8440571725156705,0.8475346348864136
0.8230017566974089,0.8395915678524373,0.8482652613087396,0.8420289855072463
0.8310740740740741,0.8320000000000001,0.8480740740740741,0.8472222222222223
0.8382907134018245,0.8230672537339204,0.8536638176638176,0.8476742352297908
0.8299706466373132,0.8304195804195805,0.8514393014393015,0.8451542284875618
0.8300567248843113,0.8352415783450265,0.8493879683534857,0.8513385082350599
0.8338256124463023,0.8311250435388364,0.8502496226634157,0.8542900267038197
0.8325708699902247,0.8208015640273704,0.85227761485826,0.8522776148582599
0.8314047735418704,0.8082294721407625,0.8504072987943955,0.8437153796024763
0.8352157943067035,0.8059305172941537,0.848664677073768,0.8413127486991124
0.8351968886728244,0.8075136390644412,0.8470372170906929,0.8410900448333603
0.8275737769855416,0.8115910741400937,0.8398175027586792,0.8244232238349886
0.8175189475189475,0.8174693741360409,0.8347872547872548,0.8274278174278173
0.8176386913229019,0.8158368895211001,0.833854907539118,0.8266002844950215
0.8229992229992231,0.8177524230155809,0.8252416199784619,0.8210512684196895
0.8208857808857809,0.8229603729603729,0.8200259000259,0.8149740999741001
0.8145121951219512,0.8172394678492237,0.8194678492239469,0.8181042128603104
0.8141179507033165,0.8100294466148125,0.8230281913208742,0.8230281913208742
0.8183484904415138,0.809092027696679,0.8276955602536997,0.8276955602537
0.8224606886340501,0.8128555463016349,0.8191959766801202,0.8270349727009346
0.8219017136671946,0.8075436401786862,0.8163837319173288,0.824165590911309
0.8187866951974261,0.8008534310106927,0.8143781322319713,0.815462176498254
0.8208225875779067,0.7956022995916613,0.8187970126799915,0.8124785084891467
0.8229755033326462,0.7957036349893493,0.8230124372981515,0.8095487184772899
0.8270022675736962,0.7989115646258503,0.8239274376417234,0.807891156462585
0.8308520499108735,0.7998217468805703,0.8269590017825312,0.8077147950089125
0.8321649863270284,0.8035161225505287,0.8305711430017757,0.8093279762536145
0.8304907376186202,0.7998300480480776,0.8299227288745108,0.8117507928828684
0.8340198247002135,0.7979060665738769,0.8293008222110565,0.8145676317202903
0.8374068243765214,0.7982550614368795,0.8287038494614253,0.8158224379436501
0.8386743373585478,0.7982589048378521,0.8281296676033518,0.8195064681906787
0.8396909200901941,0.79981301215421,0.8299803846083339,0.8230471686007077
0.8389334608504685,0.7998158085826117,0.8322258234005749,0.8264533116081918
0.8396182160588941,0.799818524225304,0.8330377218512812,0.8283182103521085
