hERG_KNeighborsClassifier,hERG_NNClassifier,hERG_RandomForestClassifier,hERG_SVC
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0008080808080808133,0.0,0.00040404040404040664,0.0008080808080808133
0.041212121212121214,0.0,0.020606060606060607,0.041212121212121214
0.08146224146224147,0.0005772005772005808,0.04034632034632035,0.08126984126984128
0.11801827801827802,0.01500721500721501,0.049004329004328995,0.11301587301587301
0.15220779220779218,0.029725829725829718,0.05810485810485809,0.1432419432419432
0.1493217893217893,0.048965848965848977,0.0741382074715408,0.14965528298861627
0.14882154882154883,0.06920110192837467,0.09019487807366597,0.15661667176818692
0.17575757575757575,0.10088154269972452,0.10651974288337925,0.16988062442607893
0.20029600029600028,0.13007389916480824,0.12452530634348817,0.18567795840523113
0.2032560032560032,0.13687349687349684,0.15765715765715765,0.22427572427572423
0.2057581307581307,0.1451587301587301,0.18771339771339765,0.2577422577422577
0.2049025049025049,0.16433862433862434,0.19521515521515517,0.2535797535797536
0.20523657628920788,0.18072430531666855,0.20068048910154174,0.24878019965739262
0.2128787878787879,0.17994553376906314,0.19363636363636363,0.24006734006734004
0.21776309460519983,0.18150351120423358,0.1899430394167236,0.23522003662354543
0.20816840079997972,0.19532942079897703,0.2038414217361586,0.25066690294760474
0.20167477623271254,0.2069948496825967,0.21421213832281022,0.26278596239070545
0.20930824486056437,0.20881808865998583,0.2085123776823381,0.25974501270943956
0.21591181911340013,0.209575331709719,0.2027452389507725,0.25660731158754874
0.21839581586617157,0.2060685910488282,0.19670858785483292,0.2530826047031581
0.21984678695789803,0.20413421968977524,0.19288888888888892,0.2515150364039253
0.21763521252410137,0.2077746122190566,0.19692929292929293,0.2568864139975251
0.21735636862073643,0.2106846835582467,0.2009474050853361,0.26074973983019956
0.22319783806373844,0.21128207112881442,0.2048949262742366,0.2598375684199439
0.22560108206381843,0.21322916315547014,0.2081805260615049,0.25817119229799984
0.21821860749558192,0.219017721710992,0.2095821957056662,0.2543582335350967
0.21478403144782304,0.2248978159201119,0.21093377278041756,0.2511453445384789
0.22150119445272107,0.2310132875241983,0.21215654039097198,0.2494754920837377
0.2287622819708381,0.23593043004807707,0.21378259292697793,0.24959732285935493
0.23729252668646605,0.2380514713848047,0.21634964362237086,0.25389974783914177
0.24307138079067903,0.2408000488702243,0.21865513760250596,0.25723400916383377
0.24300352984563506,0.24488214067161432,0.2204048235627183,0.258510922721449
0.24321422574310886,0.24690357035671537,0.22119246732212067,0.26043332990701407
0.24396563021723483,0.24492489122784372,0.2201126173975981,0.2636087541350699
0.2456676675564934,0.2424456787304206,0.2220314748590415,0.266653036885595
0.24905971887821007,0.2390766291333506,0.2292813676733132,0.2694641792316211
0.25309570359145994,0.2384188880312911,0.23281892721639022,0.270607094468969
0.25818231646984285,0.24218486078951193,0.23029952194857053,0.2690281654763684
0.259576772686427,0.24449220335745156,0.2312642869702831,0.2684219586798568
0.2554329939103127,0.2446116006399694,0.2374553074262939,0.26927483517747863
0.25391293335095366,0.2451424887169568,0.24170731632433756,0.270461975376869
0.25601610270997077,0.2462416259863068,0.2432816425947125,0.27211071783108254
0.2579013177598083,0.24930785989609516,0.24262807345160287,0.27102377361200886
0.2595091364161445,0.25487767134825956,0.23913900105496744,0.266455046354206
0.2613514600935984,0.2573765696720438,0.23767510265228844,0.2652759016468475
0.26346907227410366,0.256270483019034,0.238588582416428,0.268075832107402
0.2640303827990024,0.2577394503000112,0.2398313457234344,0.26889797710717933
0.26290569986366075,0.2619980593428077,0.2414308328685466,0.2675775211911149
0.2636948082501621,0.262928655628775,0.24538686005049165,0.2685580125212227
0.26639770795850654,0.26053123915791315,0.25169942726926947,0.27183945109750274
0.26728149464456025,0.2599593653654647,0.25331516530984616,0.27291962584439977
0.266486100079269,0.26107260789155184,0.25059536872439125,0.2719678647487894
0.2639834308561172,0.26100169176848176,0.24834309705806262,0.2709096861185703
0.2600264165540474,0.2599220479072408,0.2464890873598788,0.269760855514425
0.2570298056185153,0.2583046387738469,0.2459995937952927,0.2685549390480643
0.2547877973281199,0.2562646997837613,0.24658222004996197,0.2673041694042487
0.2536134019372905,0.25404862428567426,0.2462055301837008,0.26646152759320213
0.2532121055426985,0.25170500166110343,0.24513416312642106,0.26591442662657444
0.2536639738888782,0.2503153737347798,0.24433369041443517,0.26632864467904566
0.25468461872890547,0.24956174227395428,0.24371381393264535,0.2673837420775828
0.25432942406304315,0.249281754058239,0.24199743181678265,0.26622813898664155
0.253130972925829,0.24929206331533335,0.23960899786068182,0.26371759043440707
0.25341674902411926,0.2519055809883516,0.23878967211496632,0.26197465087676675
0.25453740294238075,0.255983403395327,0.2388529697375925,0.2606634913785856
0.25543099696668553,0.25600096130737804,0.23907422202303236,0.2607065349415746
0.2562076207425883,0.25392686781295287,0.23937684489234595,0.26144719826334817
0.25615664431665885,0.2530230059041154,0.23890777412369074,0.2609822819392197
0.2557162089722201,0.2526698412120252,0.23807555340775619,0.25995003401701966
0.2568615615743008,0.25274862390746977,0.23832641943337504,0.2584311813646297
0.25868653758203264,0.25301252691185777,0.23904146549108826,0.25670378382787273
0.2616441464776268,0.25259505389782594,0.24048149819937495,0.25634652045738504
0.26504222371850067,0.2519126013210753,0.2422034701606624,0.2565220870404463
0.2657967919284099,0.2525844417906624,0.24476958044472158,0.2566412282438537
0.2656225596679803,0.25373211495220593,0.24763227986921424,0.25674054431386917
0.26687994984471236,0.2546702003246954,0.24722391173360125,0.25753706575919455
0.26858943131739016,0.25554210007958883,0.24578257489479718,0.25855375732303887
0.26849853864189394,0.25434023942001815,0.2460710166866474,0.2600754518996215
0.26789984812973316,0.2525534719768807,0.24684734475893863,0.26173958322338675
0.2663731662982599,0.2534475349485371,0.2466541746284315,0.26131023480871923
0.2646144866369585,0.2550118055238917,0.24621862994722493,0.2603575164594437
0.26235171888557235,0.25618549974945126,0.24484418495638688,0.26104130121318503
0.25997829765099684,0.2572734577031045,0.24326363989758099,0.2620843183553935
0.2617133067115908,0.2558045488883797,0.24332437275985658,0.2597052369959027
0.2642308739236457,0.2538486178320592,0.24369772998805256,0.25667432735037404
0.2640244258600129,0.25508403274979974,0.2424438402904953,0.2557828678349051
0.2633745334491752,0.25683896910517817,0.24092504993060615,0.2552396908987483
0.2634067721801284,0.2570143328286588,0.23863488615967748,0.2538224615815349
0.2635320287940531,0.25697430028415347,0.23623953510542517,0.2522860433032683
0.2624543077951427,0.2560128380627896,0.23527245037467764,0.25431317620186217
0.2612429226170285,0.25494899476621946,0.2344640619020973,0.25673625923121823
0.26217936303601636,0.2559016078436787,0.23542734250329905,0.2563651793349109
0.2633025708982305,0.2570295649536622,0.23654468128482975,0.2557511287494154
0.26166925176506084,0.25480792234999794,0.23652156688109582,0.25473108686063484
0.25985998410027095,0.25237247550929237,0.2364256575931961,0.25368513063334663
0.25949849242371903,0.25092083610104293,0.2365508682534366,0.2563332361461369
0.259197324746677,0.2495101886691457,0.2366852922448497,0.2591352608980971
0.259284213552817,0.24993743427507673,0.23551331267831127,0.2575165367851402
0.25937902187902184,0.2504021879021879,0.23431467181467175,0.2558075933075933
