Cancer_KNeighborsClassifier,Cancer_NNClassifier,Cancer_RandomForestClassifier,Cancer_SVC
0.8,0.6,0.8,0.8
0.5214646464646469,0.501052188552187,0.5643939393939406,0.6298400673400681
0.4888085152601285,0.5345932442706639,0.567296622135332,0.547674595416531
0.5384277558190605,0.5291699604743091,0.5907422046552483,0.5907422046552485
0.5367695997521486,0.5509558835312405,0.5656421432730261,0.57927450069174
0.5503017184835366,0.5488928933905013,0.5698184856079596,0.5830989319027594
0.5596997205692859,0.5438604873387481,0.5629450259885043,0.5885686776991126
0.5683326865050647,0.551144011943596,0.5719757282062579,0.5775805825650062
0.5760369252972213,0.5460526900350972,0.5842107601403884,0.5809412262031215
0.5825625342604079,0.5424059702066685,0.594187511420136,0.589828144985238
0.5789822024858146,0.5464733332638388,0.5971983335244431,0.5932749406691615
0.5756958141573524,0.548876835415297,0.5899627438088973,0.5911516546131927
0.579293109282418,0.5460681296212302,0.5994701109455208,0.6000300582445985
0.5746561600985236,0.5428518985089716,0.5996122844607695,0.5965942866049463
0.5758063135155072,0.5420832976581726,0.5963574014432524,0.5934610174775357
0.569827226124929,0.5517047827812969,0.5954539125832085,0.591281334322914
0.5713919049984624,0.553666338865402,0.5983652517141979,0.5926436327138903
0.5700288600288598,0.5546118446118447,0.5954154554154553,0.5846453846453844
0.5763550125763564,0.5549536471433705,0.5985468918433345,0.5881775062881782
0.5744431397755251,0.5562474131048607,0.5972467416192976,0.5892865136732893
0.5757130503578592,0.5575893727806296,0.5979455759783628,0.5919677650825192
0.5781092987106802,0.5583692031477485,0.6006227597857017,0.5955465727103273
0.578269001303126,0.562549455984174,0.5984804060100797,0.5949136875323819
0.5789615430398258,0.5634595109342584,0.6005686069448697,0.5967380029248716
0.5781869608297164,0.562417385560378,0.6021467189367912,0.5950628336438667
0.5799527129178681,0.566689215228578,0.5989537632969892,0.592676343078924
0.5752368181389864,0.5702068339816273,0.5961693821370035,0.5923387642740072
0.5728753721184197,0.568956294651539,0.5937032113846332,0.5898723951710623
0.5730041411434784,0.5701075412205403,0.5929939549735641,0.5886961460453388
0.5758708944939194,0.5677586061333241,0.5939094542932015,0.5860201161555564
0.5756804567062295,0.5679263162780588,0.594082215539532,0.5858921434570034
0.5767631724753643,0.5683598139960565,0.5927601755956187,0.5860102692481106
0.5754788399836603,0.5674576658450453,0.5923385602614349,0.586769502124454
0.575957881502436,0.5669752213316569,0.5900924616271152,0.5822987060610824
0.5757673444089629,0.5646593398038484,0.5896145761752698,0.5826909602921164
