Cancer_KNeighborsClassifier,Cancer_NNClassifier,Cancer_RandomForestClassifier,Cancer_SVC
0.0,0.0,0.0,0.0
0.015811845898409616,0.011077861137428882,0.019780164362740105,0.01456688654049192
0.02909368770004585,0.025791964790343087,0.036853129447404494,0.023162269703419874
0.04221343135341233,0.035608306245630286,0.04616770376686601,0.03292700732723821
0.05315894487905899,0.052692883572899044,0.058793255322535834,0.04585242958925956
0.0700787332710043,0.06350520340887514,0.07902883138514685,0.06281467324144488
0.08858546823496974,0.07811725353274898,0.09415073583720357,0.07756728700391238
0.10035245435942586,0.100973284322353,0.11189047192465769,0.08746446258909482
0.11788178628624109,0.11675037776397605,0.1244657934701181,0.10052833907927947
0.13243768253524246,0.1259068379890313,0.14117794540297401,0.11211458430062464
0.14422007162913333,0.14278864740228245,0.15449285785903283,0.12750934764639613
0.15647369813643175,0.1565792703393874,0.16715649230393448,0.14202998584345644
0.17461496754312436,0.17171025549237273,0.18318186611305526,0.15265738823091635
0.19605778723620249,0.18564552331526912,0.19857250963835146,0.16373031561168463
0.21220134408179803,0.19545950572913623,0.2137576049078475,0.1781183898843241
0.22695316917865754,0.2076610200215223,0.22804952695278588,0.18934961796835909
0.24143668846657537,0.2186942156281561,0.23835068853207483,0.20426825090685097
0.2533524508555338,0.22794865538136216,0.2530879791628898,0.21708293076818735
0.2672093454809832,0.24191333679894483,0.26192050206995743,0.23087308422321665
0.2787985106141739,0.2533840181069543,0.2786995046846816,0.24123054623929385
0.28937524468545783,0.26624471649179143,0.2922235338431799,0.2528422986483981
0.3009150847482832,0.2736443355491309,0.302333836105961,0.2620332482942381
0.312147623927813,0.28656117307928974,0.31807898525343087,0.27445522071808287
0.3281034972712707,0.3002595223136297,0.33446468511258753,0.28456865063405506
0.3415316085909082,0.3130021039728451,0.3457093668703493,0.29608833409334784
0.3500088972480849,0.3276697676468873,0.35795473609111517,0.30616549377747376
0.36420560847516537,0.33737090991242147,0.3690066267589585,0.3171513177365543
