smiles	nsc	level1	level2	level3	level4	level5	level6
COc2cccc(C=CC(=O)c1sc(C(N)=S)nc1C)c2O	642625	c1cscn1	O=C(C=Cc1ccccc1)c2cncs2	O=C(C=Cc1ccccc1)c2cncs2	O=C(C=Cc1ccccc1)c2cncs2	O=C(C=Cc1ccccc1)c2cncs2	O=C(C=Cc1ccccc1)c2cncs2
CC(=NN)c2sc(c1nc(C)c(C(C)=NN)s1)nc2C	642633	c1cscn1	c2csc(c1nccs1)n2	c2csc(c1nccs1)n2	c2csc(c1nccs1)n2	c2csc(c1nccs1)n2	c2csc(c1nccs1)n2
NNC(=S)NN=C(C(O)c1cccc(N(=O)=O)c1)c3nc2ccc(Cl)cc2nc3O	642637	c1cnccn1	c2ccc1nccnc1c2	N=C(Cc1ccccc1)c3cnc2ccccc2n3	N=C(Cc1ccccc1)c3cnc2ccccc2n3	N=C(Cc1ccccc1)c3cnc2ccccc2n3	N=C(Cc1ccccc1)c3cnc2ccccc2n3
Cc4nc(n2nc(c1ccccc1)cc2c3ccccc3)sc4C(C=Cc5ccc(N(=O)=O)cc5)=NNC(=S)NN	642641	c1cscn1	c2cnn(c1nccs1)c2	c3ccc(c1ccnn1c2nccs2)cc3	c4ccc(c3cc(c1ccccc1)n(c2nccs2)n3)cc4	N=C(C=Cc1ccccc1)c5cnc(n3nc(c2ccccc2)cc3c4ccccc4)s5	N=C(C=Cc1ccccc1)c5cnc(n3nc(c2ccccc2)cc3c4ccccc4)s5
COC(=O)NN=C(C(O)c1ccc(OC)c(OC)c1)c3nc2ccc(N(=O)=O)cc2nc3O	642643	c1cnccn1	c2ccc1nccnc1c2	N=C(Cc1ccccc1)c3cnc2ccccc2n3	N=C(Cc1ccccc1)c3cnc2ccccc2n3	N=C(Cc1ccccc1)c3cnc2ccccc2n3	N=C(Cc1ccccc1)c3cnc2ccccc2n3
Clc3ccc(NC(=O)NS(=O)(=O)c2ccc1CCCc1c2)cc3	642684	c1ccccc1	C2Cc1ccccc1C2	O=C(Nc1ccccc1)NS(=O)(=O)c3ccc2CCCc2c3	O=C(Nc1ccccc1)NS(=O)(=O)c3ccc2CCCc2c3	O=C(Nc1ccccc1)NS(=O)(=O)c3ccc2CCCc2c3	O=C(Nc1ccccc1)NS(=O)(=O)c3ccc2CCCc2c3
Cc1ccc(CCNC(=S)SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)cc1	642704	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
OCNC(=O)NCOCn1c(=O)n(CO)c(=O)n(CO)c1=O	642710	O=c1[nH]c(=O)[nH]c(=O)[nH]1	O=c1[nH]c(=O)[nH]c(=O)[nH]1	O=c1[nH]c(=O)[nH]c(=O)[nH]1	O=c1[nH]c(=O)[nH]c(=O)[nH]1	O=c1[nH]c(=O)[nH]c(=O)[nH]1	O=c1[nH]c(=O)[nH]c(=O)[nH]1
CN4CCC(c2c(O)cc(O)c3c(=O)cc(c1ccccc1Cl)oc23)C(O)C4	642740	O=c1ccocc1	O=c1ccoc2ccccc12	O=c2ccoc3c(C1CCNCC1)cccc23	O=c3cc(c1ccccc1)oc4c(C2CCNCC2)cccc34	O=c3cc(c1ccccc1)oc4c(C2CCNCC2)cccc34	O=c3cc(c1ccccc1)oc4c(C2CCNCC2)cccc34
Nc2ncnc(NC1C=C(CO)C(O)C1O)c2N(=O)=O	642829	c1cncnc1	C2CC(Nc1ccncn1)C=C2	C2CC(Nc1ccncn1)C=C2	C2CC(Nc1ccncn1)C=C2	C2CC(Nc1ccncn1)C=C2	C2CC(Nc1ccncn1)C=C2
OCC2=CC(Nc1ncnc(O)c1N(=O)=O)C(O)C2O	642830	c1cncnc1	C2CC(Nc1ccncn1)C=C2	C2CC(Nc1ccncn1)C=C2	C2CC(Nc1ccncn1)C=C2	C2CC(Nc1ccncn1)C=C2	C2CC(Nc1ccncn1)C=C2
COC(=O)c5c(c1ccccc1)cc6c3cc(c2ccccc2)c(C(=O)OC)n3c4ccccc4n56	642895	c1cc[nH]c1	c2c[nH]c(c1ccc[nH]1)c2	c3cc2c1cccn1ccn2c3	c1ccc3c(c1)n2cccc2c4cccn34	c5ccc(c4cc3c1cccn1c2ccccc2n3c4)cc5	c6ccc(c5cc4c2cc(c1ccccc1)cn2c3ccccc3n4c5)cc6
C3CN1N2CCCC12C3	642896	C1NN1	C2CC1NN1C2	C3CN1N2CCCC12C3	C3CN1N2CCCC12C3	C3CN1N2CCCC12C3	C3CN1N2CCCC12C3
Clc3ccc2nc(C(=O)c1ccccc1)c(C(Br)Br)cc2c3	642947	c1ccncc1	c2ccc1ncccc1c2	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3
COc3ccc2nc(C(=O)c1ccccc1)c(C)cc2c3	642953	c1ccncc1	c2ccc1ncccc1c2	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3
Cc2cc1c(Br)cc(Br)c(O)c1nc2C(=O)c3ccccc3	642954	c1ccncc1	c2ccc1ncccc1c2	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3	O=C(c1ccccc1)c3ccc2ccccc2n3
O=C(C2Nc1cnccc1C3C2Cc4ccccc34)c5ccccc5	642956	C1CNC=CC1	C2CNc1cnccc1C2	C2Nc1cnccc1C3C=CCC23	C2Nc1cnccc1C3C2Cc4ccccc34	O=C(C2Nc1cnccc1C3C2Cc4ccccc34)c5ccccc5	O=C(C2Nc1cnccc1C3C2Cc4ccccc34)c5ccccc5
O=c3c1ccccc1c(=O)c4c(C=CN2CCCCC2)ccnc34	642968	c1ccncc1	O=c1ccc(=O)c2ncccc12	O=c2c1ccccc1c(=O)c3ncccc23	O=c3c1ccccc1c(=O)c4c(C=CN2CCCCC2)ccnc34	O=c3c1ccccc1c(=O)c4c(C=CN2CCCCC2)ccnc34	O=c3c1ccccc1c(=O)c4c(C=CN2CCCCC2)ccnc34
COc2ccc(C=Cc1cc(OC)c(OC)c(OC)c1)cc2OP(O)(O)=O	643001	c1ccccc1	C(=Cc1ccccc1)c2ccccc2	C(=Cc1ccccc1)c2ccccc2	C(=Cc1ccccc1)c2ccccc2	C(=Cc1ccccc1)c2ccccc2	C(=Cc1ccccc1)c2ccccc2
CCOC(=O)C(=Cc2ccc(Oc1ccccc1)cc2)C(=O)OCC	643027	c1ccccc1	O(c1ccccc1)c2ccccc2	O(c1ccccc1)c2ccccc2	O(c1ccccc1)c2ccccc2	O(c1ccccc1)c2ccccc2	O(c1ccccc1)c2ccccc2
CCOC(=O)C(=Cc1ccccn1)C(=O)c2ccccc2	643038	c1ccncc1	O=C(C=Cc1ccccn1)c2ccccc2	O=C(C=Cc1ccccn1)c2ccccc2	O=C(C=Cc1ccccn1)c2ccccc2	O=C(C=Cc1ccccn1)c2ccccc2	O=C(C=Cc1ccccn1)c2ccccc2
